Year,Month,Date,Value,3-Month % Change,NormValue
2019,M09,9/1/2019,1.383,15,4.972375691
2019,M10,10/1/2019,1.282,3.1,2.182320442
2019,M11,11/1/2019,1.405,15.3,5.580110497
2019,M12,12/1/2019,1.535,11,9.171270718
2020,M01,1/1/2020,1.461,14,7.127071823
2020,M02,2/1/2020,1.449,3.1,6.79558011
2020,M03,3/1/2020,1.525,-0.7,8.895027624
2020,M04,4/1/2020,2.019,38.2,22.54143646
2020,M05,5/1/2020,1.64,13.2,12.0718232
2020,M06,6/1/2020,1.554,1.9,9.696132597
2020,M07,7/1/2020,1.401,-30.6,5.46961326
2020,M08,8/1/2020,1.328,-19,3.453038674
2020,M09,9/1/2020,1.353,-12.9,4.143646409
2020,M10,10/1/2020,1.408,0.5,5.662983425
2020,M11,11/1/2020,1.45,9.2,6.82320442
2020,M12,12/1/2020,1.481,9.5,7.679558011
2021,M01,1/1/2021,1.466,4.1,7.26519337
2021,M02,2/1/2021,1.597,10.1,10.8839779
2021,M03,3/1/2021,1.625,9.7,11.65745856
2021,M04,4/1/2021,1.62,10.5,11.51933702
2021,M05,5/1/2021,1.625,1.8,11.65745856
2021,M06,6/1/2021,1.642,1,12.12707182
2021,M07,7/1/2021,1.642,1.4,12.12707182
2021,M08,8/1/2021,1.709,5.2,13.97790055
2021,M09,9/1/2021,1.835,11.8,17.45856354
2021,M10,10/1/2021,1.821,10.9,17.0718232
2021,M11,11/1/2021,1.718,0.5,14.22651934
2021,M12,12/1/2021,1.788,-2.6,16.16022099
2022,M01,1/1/2022,1.929,5.9,20.05524862
2022,M02,2/1/2022,2.005,16.7,22.15469613
2022,M03,3/1/2022,2.046,14.4,23.28729282
2022,M04,4/1/2022,2.52,30.6,36.38121547
2022,M05,5/1/2022,2.863,42.8,45.85635359
2022,M06,6/1/2022,2.707,32.3,41.54696133
2022,M07,7/1/2022,2.936,16.5,47.87292818
2022,M08,8/1/2022,3.116,8.8,52.84530387
2022,M09,9/1/2022,2.902,7.2,46.93370166
2022,M10,10/1/2022,3.419,16.5,61.21546961
2022,M11,11/1/2022,3.589,15.2,65.91160221
2022,M12,12/1/2022,4.25,46.5,84.17127072
2023,M01,1/1/2023,4.823,41.1,100
2023,M02,2/1/2023,4.211,17.3,83.09392265
2023,M03,3/1/2023,3.446,-18.9,61.96132597
2023,M04,4/1/2023,3.27,-32.2,57.09944751
